Time,Seconds,Minutes,Days,,Bin 2,Bin 3,Bin 4,Bin 2,Bin 3,Bin 4,Bin 2,Bin 3,Bin 4
53760,,4.62699342132325E+017,,,,,,3.02208285875307E+017,9.18601186145847E+016,898387036468876,,,
55296,4.6677398183873E+017,,,,3.04093474894323E+017,9.25134800311028E+016,898981062446727,,,,,,
55440,,4.64491943716813E+017,,,,,,3.0264802966738E+017,9.18980209685075E+016,898468055412705,,,
57024,4.68561530812367E+017,,,,3.04525697123746E+017,9.25486033390097E+016,899050218382679,,,,,,
57120,,4.66222305894035E+017,,,,,,3.03065577021151E+017,9.19316687978723E+016,898533528623155,,,
58752,4.70286601731949E+017,,,,3.0493594926747E+017,9.25797142547515E+016,899105765689892,,,,,,
58800,,4.6789398877332E+017,,,,,,3.03462526859251E+017,9.19615775642673E+016,898586438980710,,,
60480,4.71952748837502E+017,,,,3.05325828796076E+017,9.26073080664195E+016,899150382298664,,,,,,
60480,,4.69510229274397E+017,,,,,,3.03840334020719E+017,9.19881964403869E+016,898629197017430,,,
62160,,4.71073982455815E+017,,,,,,3.04200324876702E+017,9.20119175588941E+016,898663750737884,,,
62208,4.73563207345075E+017,,,,3.05696788032931E+017,9.26318154247542E+016,899186219171379,,,,,,
63840,,4.72587956447511E+017,,,,,,3.04543711007796E+017,9.20330838488777E+016,898691674367894,,,
63936,4.75120934128961E+017,,,,3.0605015004325E+017,9.26536114680734E+016,899215004000200,,,,,,
65520,,4.7405464209593E+017,,,,,,3.04871601212805E+017,9.20519956948421E+016,898714240074353,,,
65664,4.76628642076663E+017,,,,3.06387122531087E+017,9.26730235388493E+016,899238124498933,,,,,,
67200,,4.7547633822135E+017,,,,,,3.05185012076404E+017,9.20689166111852E+016,898732475923628,,,
67392,4.78088829222012E+017,,,,3.06708810023275E+017,9.26903377288917E+016,899256695304582,,,,,,
68880,,4.76855173220584E+017,,,,,,3.05484877288563E+017,9.20840780910909E+016,898747212719010,,,
69120,4.79503803551868E+017,,,,3.0701622457571E+017,9.27058044471991E+016,899271611713889,,,,,,
70560,,4.78193123614756E+017,,,,,,3.05772055879918E+017,9.209768376109E+016,898759121851120,,,
70848,4.80875704214653E+017,,,,3.07310295201472E+017,9.27196431698842E+016,899283592845498,,,,,,
72240,,4.7949203003452E+017,,,,,,3.06047339513451E+017,9.2109912949991E+016,898768745885648,,,
72576,4.82206519725289E+017,,,,3.07591876190533E+017,9.27320465034828E+016,899293216308606,,,,,,
73920,,4.80753611048324E+017,,,,,,3.06311458952773E+017,9.21209237624441E+016,898776523281999,,,
74304,4.83498103653766E+017,,,,3.07861754465988E+017,9.27431836701283E+016,899300946049435,,,,,,
75600,,4.81979475168999E+017,,,,,,3.06565089810487E+017,9.21308557323014E+016,898782808368967,,,
76032,4.84752188197997E+017,,,,3.08120656100926E+017,9.275320350447E+016,899307154718042,,,,,,
77280,,4.83171131316766E+017,,,,,,3.06808857665837E+017,9.21398321185289E+016,898787887487533,,,
77760,4.85970395971622E+017,,,,3.08369252102522E+017,9.27622370370217E+016,899312141633738,,,,,,
78960,,4.84329997969993E+017,,,,,,3.07043342628729E+017,9.21479618962196E+016,898791992036211,,,
79488,4.87154250280537E+017,,,,3.0860816355513E+017,9.27703997261811E+016,899316147215246,,,,,,
80640,,4.85457411196802E+017,,,,,,3.07269083416925E+017,9.21553414868262E+016,898795309013286,,,
81216,4.88305184115589E+017,,,,3.08837966201574E+017,9.27777933909482E+016,899319364571262,,,,,,
82320,,4.86554631729171E+017,,,,,,3.07486581004364E+017,9.21620562647632E+016,898797989536234,,,
82944,4.89424548051001E+017,,,,3.09059194531141E+017,9.2784507887959E+016,899321948810208,,,,,,
84000,,4.87622851215267E+017,,,,,,3.07696301891058E+017,9.21681818717475E+016,898800155726446,,,
84672,4.90513617207023E+017,,,,3.09272345433668E+017,9.27906225695092E+016,899324024517994,,,,,,
85680,,4.88663197764306E+017,,,,,,3.07898681038515E+017,9.21737853654361E+016,898801906272934,,,
86400,4.91573597409688E+017,,,,3.09477881471238E+017,9.27962075534869E+016,899325691764289,,,,,,
86400,,,7.18685663101819E+016,1.49072204401201,,,,,,,1.39784519513659E+016,367787741662621,74577559608.7043
87360,,4.89676740880504E+017,,,,,,3.08094124509066E+017,9.21789262249164E+016,898803320928485,,,
88128,4.92605630659587E+017,,,,3.09676233812571E+017,9.28013248314169E+016,899327030926876,,,,,,
89040,,4.90664495867875E+017,,,,,,3.08283011842678E+017,9.21836572322485E+016,898804464143099,,,
89856,4.93610800003875E+017,,,,3.09867804868939E+017,9.28060292367419E+016,899328106566656,,,,,,
90720,,4.91627427775337E+017,,,,,,3.08465698200657E+017,9.21880252464562E+016,898805388000255,,,
91584,4.94590133891447E+017,,,,3.10052970666046E+017,9.28103692922776E+016,899328970540117,,,,,,
92400,,4.92566454941288E+017,,,,,,3.08642516302073E+017,9.2192071883998E+016,898806134589770,,,
