Time,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6
4592,5.3807834015059603e+17,3.180485370811963e+17,9.242889540163458e+16,898809278964578.6,0,0
4620,5.383052980113388e+17,3.1811880378574054e+17,9.243132734546064e+16,898809278964578.6,0,0
4648,5.38531134431647e+17,3.1818913013095526e+17,9.243376457026411e+16,898809278964578.6,0,0
4676,5.387558708281483e+17,3.1825951689253075e+17,9.243620700778952e+16,898809278964578.6,0,0
4704,5.3897952804154925e+17,3.183299647698899e+17,9.243865459034358e+16,898809278964578.6,0,0
4732,5.39202126354109e+17,3.184004743895061e+17,9.244110725079186e+16,898809278964578.6,0,0
4760,5.394236855065422e+17,3.184710463080874e+17,9.244356492255531e+16,898809278964578.6,0,0
4788,5.396442247143724e+17,3.185416810156291e+17,9.244602753960691e+16,898809278964578.6,0,0
4816,5.398637626837524e+17,3.186123789383426e+17,9.244849503646803e+16,898809278964578.6,0,0
4844,5.4008231762677254e+17,3.186831404414649e+17,9.245096734820477e+16,898809278964578.6,0,0
4872,5.402999072762719e+17,3.1875396583195437e+17,9.245344441042429e+16,898809278964578.6,0,0
4900,5.405165489001696e+17,3.188248553610751e+17,9.245592615927112e+16,898809278964578.6,0,0
4928,5.4073225931533504e+17,3.1889580922687904e+17,9.245841253142333e+16,898809278964578.6,0,0
4956,5.409470549010082e+17,3.1896682757658496e+17,9.246090346408875e+16,898809278964578.6,0,0
4984,5.4116095161179104e+17,3.190379105088622e+17,9.24633988950012e+16,898809278964578.6,0,0
5012,5.413739649902188e+17,3.1910905807602195e+17,9.246589876241646e+16,898809278964578.6,0,0
5040,5.415861101789285e+17,3.191802702861181e+17,9.246840300510872e+16,898809278964578.6,0,0
5068,5.417974019324388e+17,3.192515471049665e+17,9.247091156236643e+16,898809278964578.6,0,0
5096,5.4200785462855123e+17,3.193228884580782e+17,9.247342437398858e+16,898809278964578.6,0,0
5124,5.4221748227938995e+17,3.193942942325189e+17,9.247594138028088e+16,898809278964578.6,0,0
5152,5.4242629854208755e+17,3.194657642786892e+17,9.247846252205176e+16,898809278964578.6,0,0
5180,5.4263431672913146e+17,3.195372984120369e+17,9.248098774060862e+16,898809278964578.6,0,0
5208,5.428415498183826e+17,3.1960889641469606e+17,9.2483516977754e+16,898809278964578.6,0,0
5236,5.430480104627765e+17,3.196805580370641e+17,9.248605017578163e+16,898809278964578.6,0,0
5264,5.432537109997156e+17,3.197522829993123e+17,9.24885872774728e+16,898809278964578.6,0,0
5292,5.4345866346016736e+17,3.198240709928365e+17,9.249112822609242e+16,898809278964578.6,0,0
5320,5.436628795774739e+17,3.198959216816493e+17,9.249367296538517e+16,898809278964578.6,0,0
5348,5.438663707958854e+17,3.1996783470371584e+17,9.249622143957198e+16,898809278964578.6,0,0
